0,-012,377,473,1,1,
1,-010,417,433,1,1,
2,-009,405,445,1,1,
3,-010,369,481,1,1,
4,-010,385,465,1,1,
5,-010,385,465,1,1,
6,-012,345,505,1,1,
7,-011,397,453,1,1,
8,-012,361,489,1,1,
9,-012,377,473,1,1,
0,-009,437,413,1,2,
1,-009,389,461,1,2,
2,-010,369,481,1,2,
3,-009,405,445,1,2,
4,-011,349,501,1,2,
5,-010,401,449,1,2,
6,-008,425,425,1,2,
7,-003,493,357,1,2,
8,-005,373,477,1,2,
9,-008,345,505,1,2,
0,-002,513,337,3,4,
1,-007,317,533,3,4,
2,-006,417,433,3,4,
3,-006,401,449,3,4,
4,-006,401,449,3,4,
5,-005,421,429,3,4,
6,-007,365,485,3,4,
7,-007,397,453,3,4,
8,-002,497,353,3,4,
9,-005,357,493,3,4,
0,-007,365,485,4,4,
1,-005,437,413,4,4,
2,-007,365,485,4,4,
3,-006,417,433,4,4,
4,-004,441,409,4,4,
5,-004,409,441,4,4,
6,-005,389,461,4,4,
7,-005,405,445,4,4,
8,-005,405,445,4,4,
9,-005,405,445,4,4,
0,-005,405,445,4,5,
1,-003,445,405,4,5,
2,-003,413,437,4,5,
3,-001,453,397,4,5,
4,-002,401,449,4,5,
5,-003,397,453,4,5,
6,-004,393,457,4,5,
7,-004,409,441,4,5,
8,-004,409,441,4,5,
9,-002,449,401,4,5,
0,-003,397,453,5,5,
1,-001,453,397,5,5,
2,-001,421,429,5,5,
3,-003,381,469,5,5,
4,-002,433,417,5,5,
5,-002,417,433,5,5,
6,-002,417,433,5,5,
7,-002,417,433,5,5,
8,-001,437,413,5,5,
9,-002,401,449,5,5,
0,-002,417,433,6,7,
1,-001,437,413,6,7,
2,+000,441,409,6,7,
3,-003,365,485,6,7,
4,-002,433,417,6,7,
5,-002,417,433,6,7,
6,-003,397,453,6,7,
7,-002,433,417,6,7,
8,-001,437,413,6,7,
9,+005,541,309,6,7,
0,+001,365,485,7,7,
1,+002,449,401,7,7,
2,+000,393,457,7,7,
3,+000,425,425,7,7,
4,+005,525,325,7,7,
5,+000,345,505,7,7,
6,+000,425,425,7,7,
7,+000,425,425,7,7,
8,+000,425,425,7,7,
9,-002,385,465,7,7,
0,+000,457,393,8,8,
1,+002,465,385,8,8,
2,+000,393,457,8,8,
3,+001,445,405,8,8,
4,+001,429,421,8,8,
5,+000,409,441,8,8,
6,+000,425,425,8,8,
7,+001,445,405,8,8,
8,+000,409,441,8,8,
9,+001,445,405,8,8,
0,+001,429,421,9,8,
1,+001,429,421,9,8,
2,+000,409,441,9,8,
3,+001,445,405,9,8,
4,-001,389,461,9,8,
5,+006,561,289,9,8,
6,+001,349,501,9,8,
7,+000,409,441,9,8,
8,+002,465,385,9,8,
9,+001,413,437,9,8,
0,+006,529,321,10,10,
1,+002,369,481,10,10,
2,+002,433,417,10,10,
3,+003,453,397,10,10,
4,+002,417,433,10,10,
5,+003,453,397,10,10,
6,+002,417,433,10,10,
7,+003,453,397,10,10,
8,+003,437,413,10,10,
9,+003,437,413,10,10,
0,+007,517,333,10,10,
1,+003,373,477,10,10,
2,+004,457,393,10,10,
3,+003,421,429,10,10,
4,+004,457,393,10,10,
